,idx,word
0,0,<PAD>
1,1,<UNK>
2,2,<DIG>
3,3,first
4,4,device
5,5,information
6,6,unit
7,7,data
8,8,fig
9,9,one
10,10,education
11,11,present
12,12,second
13,13,embodiment
14,14,system
15,15,invention
16,16,used
17,17,time
18,18,study
19,19,method
20,20,using
21,21,include
22,22,user
23,23,students
24,24,case
25,25,control
26,26,based
27,27,various
28,28,image
29,29,process
30,30,learning
31,31,value
32,32,school
33,33,analysis
34,34,<PER>
35,35,signal
36,36,high
37,37,number
38,38,operation
39,39,rate
40,40,level
41,41,display
42,42,results
43,43,effect
44,44,electronic
45,45,input
46,46,research
47,47,area
48,48,power
49,49,result
50,50,two
51,51,korea
52,52,related
53,53,communication
54,54,use
55,55,model
56,56,aaa
57,57,content
58,58,part
59,59,different
60,60,formed
61,61,change
62,62,provided
63,63,companies
64,64,surface
65,65,increase
66,66,group
67,67,necessary
68,68,financial
69,69,direction
70,70,sensor
71,71,memory
72,72,market
73,73,development
74,74,economic
75,75,social
76,76,teachers
77,77,order
78,78,new
79,79,structure
80,80,shown
81,81,support
82,82,studies
83,83,state
84,84,apparatus
85,85,function
86,86,plurality
87,87,portion
88,88,terminal
89,89,layer
90,90,current
91,91,technology
92,92,set
93,93,step
94,94,characteristics
95,95,output
96,96,important
97,97,class
98,98,since
99,99,possible
100,100,applied
101,101,whether
102,102,income
103,103,point
104,104,table
105,105,found
106,106,problem
107,107,vehicle
108,108,another
109,109,light
110,110,illustrating
111,111,view
112,112,higher
113,113,temperature
114,114,management
115,115,object
116,116,processor
117,117,curriculum
118,118,described
119,119,people
120,120,air
121,121,material
122,122,amount
123,123,among
124,124,service
125,125,heat
126,126,policy
127,127,tax
128,128,performed
129,129,module
130,130,many
131,131,period
132,132,diagram
133,133,end
134,134,general
135,135,field
136,136,industry
137,137,activities
138,138,type
139,139,voltage
140,140,performance
141,141,circuit
142,142,evaluation
143,143,addition
144,144,life
145,145,provide
146,146,form
147,147,means
148,148,relationship
149,149,conducted
150,150,growth
151,151,difference
152,152,korean
153,153,specific
154,154,body
155,155,size
156,156,government
157,157,shows
158,158,subject
159,159,words
160,160,least
161,161,made
162,162,lower
163,163,including
164,164,reference
165,165,application
166,166,countries
167,167,total
168,168,low
169,169,region
170,170,particular
171,171,connected
172,172,teacher
173,173,embodiments
174,174,controller
175,175,educational
176,176,block
177,177,includes
178,178,factors
179,179,side
180,180,public
181,181,positive
182,182,difficult
183,183,interest
184,184,included
185,185,human
186,186,increased
187,187,seen
188,188,environment
189,189,changes
190,190,investment
191,191,local
192,192,program
193,193,corresponding
194,194,member
195,195,work
196,196,external
197,197,main
198,198,way
199,199,compared
200,200,third
201,201,space
202,202,hand
203,203,like
204,204,position
205,205,screen
206,206,significant
207,207,future
208,208,line
209,209,water
210,210,knowledge
211,211,touch
212,212,year
213,213,individual
214,214,average
215,215,must
216,216,three
217,217,within
218,218,experience
219,219,mode
220,220,variables
221,221,accordingly
222,222,large
223,223,business
224,224,company
225,225,test
226,226,expected
227,227,said
228,228,analyzed
229,229,required
230,230,receive
231,231,processing
232,232,network
233,233,terms
234,234,values
235,235,figure
236,236,target
237,237,without
238,238,driving
239,239,problems
240,240,ratio
241,241,methods
242,242,storage
243,243,ability
244,244,need
245,245,insurance
246,246,server
247,247,years
248,248,determine
249,249,small
250,250,basic
251,251,presented
252,252,following
253,253,determined
254,254,training
255,255,price
256,256,shape
257,257,housing
258,258,generated
259,259,response
